"Battle of the Bridge of Skulls","头骨桥之战","","",""
"Webber","维伯","","",""
"Hizdahr zo Loraq","西茨达拉·佐·洛拉克","","",""
"Orivel","奥利瓦","","",""
"Stranger (horse)","陌客(马)","","",""
"Astapor","阿斯塔波","","",""
"Donnel Swann","唐纳尔·史文","","",""
"Rhoynar Invasion","洛伊拿人迁徙","","",""
"Scribe's Hearth","文书台","","",""
"House Bolton","波顿家族","","",""
"The Mermaid's Lament","人鱼挽歌","","",""
"Tyene Sand","特蕾妮·沙德","","",""
"Dirk","短刃","","",""
"House Charlton","查尔顿家族","","",""
"Moroggo's","摩洛戈","","",""
"Cedrik Storm","塞德克·风暴","","",""
"Lysa Meadows","莱莎·梅斗","","",""
"Kaeth","喀斯","","",""
"Harwood Stout","海伍德·史陶","","",""
"Will Cole","威尔·科尔","","",""
"Golden Pit","黄金竞技场","","",""
"Smokeberry","烟莓","","",""
"Rickon Stark (son of Benjen)","瑞肯·史塔克(班扬之子)","","",""
"Longbow Hall","长弓厅","","",""
"Deep Den","深穴城","","",""
"Aenys I Targaryen","伊尼斯·坦格利安一世","","",""
"Viserys Targaryen (disambiguation)","韦赛里斯·坦格利安(消歧义)","","",""
"Lands of Always Winter","永冬之地","","",""
"Talbert Serry","塔尔勃特·西瑞","","",""
"Wendel Frey","文德尔·佛雷","","",""
"Artos Flint","阿托斯·菲林特","","",""
"Lem","柠檬","","",""
"Robert Stone","劳勃·石东","","",""
"King Cutthroat","割喉国王","","",""
"Shield Islands","盾牌列岛","","",""
"Goldenheart","金心","","",""
"High Road","山谷大道","","",""
"House Blackberry","布莱伯利家族","","",""
"Merling Queen","美人鱼女王","","",""
"Ulthos","乌尔特斯","","",""
"Edmyn Tully","艾德敏·徒利","","",""
"Nagga's Hill","娜伽的肋骨","","",""
"Sealord of Braavos","海王","","",""
"Alester Florent","艾利斯特·佛罗伦","","",""
"House Woolfield","渥尔菲家族","","",""
"Steelskin","铁皮","","",""
"House Egen","伊根家族","","",""
"Daella Targaryen","丹妮菈·坦格利安(梅卡一世之女)","","",""
"Pyg","帕格","","",""
"Horonno","荷罗诺","","",""
"Selmond Stackspear","撒尔门·斯脱克皮","","",""
"Little Dosk","小多克","","",""
"Mohor","摩霍尔","","",""
"House Goodbrother of Crow Spike Keep","鸦刺堡的古柏勒家族","","",""
"Shyra","席拉","","",""
"Hidden Sea","隐海","","",""
"Xon","休思岛","","",""
"Blackwater Bay","黑水湾","","",""
"Orphan Oss","奥斯","","",""
"Greyjoy Rebellion","葛雷乔伊叛乱","","",""
"Gilly","吉莉","","",""
"House Leek","李科家族","","",""
"River Gate","临河门","","",""
"Tristan Ryger","特里斯坦·莱格","","",""
"Walrus men","海象民","","",""
"Magic","魔法","","",""
"Caggo","卡戈","","",""
"House Mullendore","穆伦道尔家族","","",""
"trade talk","黑话","","",""
"Gulian","古利安","","",""
"House Greyiron","葛雷艾恩家族","","",""
"Mathos Mallarawan","马索斯·马拉若文","","",""
"Jocelyn Stark","乔斯琳·史塔克","","",""
"Hobber Redwyne","霍柏·雷德温","","",""
"Red Comet","红彗星","","",""
"Rickard Ryswell","瑞卡德·莱斯威尔","","",""
"Grenn","葛兰","","",""
"Gwyneth Yronwood","关妮赛·伊伦伍德","","",""
"Bandy","班蒂","","",""
"Humfrey Hardyng","亨佛利·哈顿","","",""
"Rhodry","罗德雷","","",""
"Runcel Hightower","伦赛·海塔尔","","",""
"Ghost grass","鬼草","","",""
"House Inchfield","英奇菲家族","","",""
"House Harlaw","哈尔洛家族","","",""
"Dunsen","邓森","","",""
"Daemon Blackfyre (cousin of Maelys)","戴蒙·黑火(马里斯之堂兄)","","",""
"Meadowlark","草鹨号","","",""
"Mero","梅罗","","",""
"Mummer","戏子","","",""
"Rolland Uffering","罗兰·乌法林","","",""
"A Dream of Spring","春晓的梦想","","",""
"Shipbreaker Bay","破船湾","","",""
"Gates of the Moon","月门堡","","",""
"Wanderer","流浪星","","",""
"House Norrey","诺瑞氏族","","",""
"Brindlewood","野猪林","","",""
"Hag’s Teeth","魔女之牙号","","",""
"Cleon","克莱昂","","",""
"House Pyne","潘恩家族","","",""
"Devyn Sealskinner","戴维因","","",""
"Port of Ibben","伊班港","","",""
"Vixen","母狐号","","",""
"Sea Dragon Point","海龙角","","",""
"Hubard Rambton","赫柏·蓝布顿","","",""
"Raymund Connington","雷蒙德·克林顿","","",""
"Tommen Costayne","托曼·科托因","","",""
"Daeron Targaryen (disambiguation)","戴伦·坦格利安(消歧义)","","",""
"Eyrie","鹰巢城","","",""
"Iron Gate","钢铁门","","",""
"Second Battle of Tumbleton","第二次腾石镇之战","","",""
"Meggett Was a Merry Maid a Merry Maid Was She","快乐处女麦吉特","","",""
"Nagga's Cradle","娜伽摇篮湾","","",""
"Robert Strong","劳勃·斯壮","","",""
"Weirwood paste","鱼梁木籽糊","","",""
"Lucerys Velaryon","路斯里斯·瓦列利安(海政大臣)","","",""
"Ten Towers","十塔城","","",""
"Lusty Lad","风流少年","","",""
"Battle of Long Lake","长湖之战","","",""
"Duncan Strong","邓肯·斯壮","","",""
"Jojen Reed","玖健·黎德","","",""
"Bitterbridge","苦桥","","",""
"Duncan Targaryen","邓肯·坦格利安","","",""
"Raymun Fossoway","雷蒙·佛索威","","",""
"Rills","溪流地","","",""
"Vinetown","蔓藤镇","","",""
"Cleos Frey","克里奥·佛雷","","",""
"Grey Cliffs","大峭壁","","",""
"Quentyn Martell","昆廷·马泰尔","","",""
"House Harroway","哈罗威家族","","",""
"Broken Anvil","破铁砧","","",""
"Wrath","暴怒","","",""
"Mor"en","zh-Hans","pos","description","notes"
"""House Branch""","""树枝氏族""","""""","""""",""""""
"""Puff fish""","""充气鱼(动物)""","""""","""""",""""""
"""Direwolf""","""冰原狼""","""""","""""",""""""
"""Rock King""","""磐岩王""","""""","""""",""""""
"""Gatehouse Tower""","""城门塔""","""""","""""",""""""
"""Aggar""","""阿加""","""""","""""",""""""
"""Terrence Toyne""","""特伦斯·托因""","""""","""""",""""""
"""Omber""","""奥柏王国""","""""","""""",""""""
"""Barsena""","""巴尔塞娜""","""""","""""",""""""
"""Six Maids in a Pool""","""六女同池""","""""","""""",""""""
"""Mutiny at Castle Black""","""黑城堡兵变""","""""","""""",""""""
"""Harvest Hall""","""丰收厅""","""""","""""",""""""
"""Temple of the Graces""","""圣恩神庙""","""""","""""",""""""
"""Lothor Brune""","""罗索·布伦""","""""","""""",""""""
"""Stonesnake""","""石蛇""","""""","""""",""""""
"""Edmund Ambrose""","""艾德蒙·安布罗斯""","""""","""""",""""""
"""The King Without Courage""","""没勇气的国王""","""""","""""",""""""
"""Nettles""","""蓖麻""","""""","""""",""""""
"""Yaros""","""雅洛斯岛""","""""","""""",""""""
"""Bryan Frey""","""布莱恩·佛雷""","""""","""""",""""""
"""Michael Manwoody""","""迈克尔·曼伍笛""","""""","""""",""""""
"""Garth Hightower""","""加尔斯·海塔尔""","""""","""""",""""""
"""Pykewood Peake""","""派克伍德·培克""","""""","""""",""""""
"""House Graceford""","""格雷佛德家族""","""""","""""",""""""
"""Great Sand Sea""","""大沙海""","""""","""""",""""""
"""Mercenary""","""雇佣兵""","""""","""""",""""""
"""Mandon Moore""","""曼登·穆尔""","""""","""""",""""""
"""Bastard's Cradle""","""野种湾""","""""","""""",""""""
"""Lothar Frey""","""罗索·佛雷""","""""","""""",""""""
"""Nymeria (disambiguation)""","""娜梅莉亚(消歧义)""","""""","""""",""""""
"""House Crabb""","""克莱勃家族""","""""","""""",""""""
"""Faceless Men""","""无面者""","""""","""""",""""""
"""House Forrester""","""森林氏族(Telltale系列游戏)""","""""","""""",""""""
"""Myrtle""","""密瑞蕾""","""""","""""",""""""
"""Horn Hill""","""角陵""","""""","""""",""""""
"""Loreza Sand""","""萝芮·沙德""","""""","""""",""""""
"""Greenfield""","""绿地城""","""""","""""",""""""
"""Dormund""","""多蒙德""","""""","""""",""""""
"""Kennet""","""肯内特""","""""","""""",""""""
"""Dog's Nose""","""狗鼻号""","""""","""""",""""""
"""Nysterica""","""娜丝特瑞卡""","""""","""""",""""""
"""Denyse Hightower""","""丹妮斯·海塔尔""","""""","""""",""""""
"""Ghiscari Dawn""","""红神之怒号""","""""","""""",""""""
"""Gift""","""赠地""","""""","""""",""""""
"""Spare Boot""","""省靴""","""""","""""",""""""
"""Fallen Leaves""","""飘零的叶子""","""""","""""",""""""
"""Vale""","""谷地""","""""","""""",""""""
"""Lymond Lychester""","""莱蒙·莱彻斯特""","""""","""""",""""""
"""Faezhar zo Faez""","""法扎哈·佐·法扎""","""""","""""",""""""
"""Hedge knight""","""雇佣骑士(职业)""","""""","""""",""""""
"""Garin (Orphan)""","""盖林(孤儿)""","""""","""""",""""""
"""Owen Norrey""","""欧文·诺瑞""","""""","""""",""""""
"""Longwater Pyke""","""伟维水·派克""","""""","""""",""""""
"""Sarra Frey""","""撒拉·佛雷""","""""","""""",""""""
"""Bold Wind""","""烈风号""","""""","""""",""""""
"""Dog""","""狗儿""","""""","""""",""""""
"""Currency""","""货币""","""""","""""",""""""
"""House Bole""","""树干氏族""","""""","""""",""""""
"""Volantis""","""瓦兰提斯""","""""","""""",""""""
"""Vaes Tolorro""","""维斯·托罗若""","""""","""""",""""""
"""Toefinger""","""手指脚""","""""","""""",""""""
"""Joffrey Lonmouth""","""乔佛里·隆莫斯""","""""","""""",""""""
"""Hammer""","""锤子""","""""","""""",""""""
"""Victor Tyrell""","""维克多·提利尔""","""""","""""",""""""
"""Davos Deddings""","""戴佛斯·戴丁斯""","""""","""""",""""""
"""Woodswatch-by-the-Pool""","""水滨寨""","""""","""""",""""""
"""Battle of the Bridge of Skulls""","""头骨桥之战""","""""","""""",""""""
"""Webber""","""维伯""","""""","""""",""""""
"""Hizdahr zo Loraq""","""西茨达拉·佐·洛拉克""","""""","""""",""""""
"""Orivel""","""奥利瓦""","""""","""""",""""""
"""Stranger (horse)""","""陌客(马)""","""""","""""",""""""
"""Astapor""","""阿斯塔波""","""""","""""",""""""
"""Donnel Swann""","""唐纳尔·史文""","""""","""""",""""""
"""Rhoynar Invasion""","""洛伊拿人迁徙""","""""","""""",""""""
"""Scribe's Hearth""","""文书台""","""""","""""",""""""
"""House Bolton""","""波顿家族""","""""","""""",""""""
"""The Mermaid's Lament""","""人鱼挽歌""","""""","""""",""""""
"""Tyene Sand""","""特蕾妮·沙德""","""""","""""",""""""
"""Dirk""","""短刃""","""""","""""",""""""
"""House Charlton""","""查尔顿家族""","""""","""""",""""""
"""Moroggo's""","""摩洛戈""","""""","""""",""""""
"""Cedrik Storm""","""塞德克·风暴""","""""","""""",""""""
"""Lysa Meadows""","""莱莎·梅斗""","""""","""""",""""""
"""Kaeth""","""喀斯""","""""","""""",""""""
"""Harwood Stout""","""海伍德·史陶""","""""","""""",""""""
"""Will Cole""","""威尔·科尔""","""""","""""",""""""
"""Golden Pit""","""黄金竞技场""","""""","""""",""""""
"""Smokeberry""","""烟莓""","""""","""""",""""""
"""Rickon Stark (son of Benjen)""","""瑞肯·史塔克(班扬之子)""","""""","""""",""""""
"""Longbow Hall""","""长弓厅""","""""","""""",""""""
"""Deep Den""","""深穴城""","""""","""""",""""""
"""Aenys I Targaryen""","""伊尼斯·坦格利安一世""","""""","""""",""""""
"""Viserys Targaryen (disambiguation)""","""韦赛里斯·坦格利安(消歧义)""","""""","""""",""""""
"""Lands of Always Winter""","""永冬之地""","""""","""""",""""""
"""Talbert Serry""","""塔尔勃特·西瑞""","""""","""""",""""""
"""Wendel Frey""","""文德尔·佛雷""","""""","""""",""""""
"""Artos Flint""","""阿托斯·菲林特""","""""","""""",""""""
"""Lem""","""柠檬""","""""","""""",""""""
"""Robert Stone""","""劳勃·石东""","""""","""""",""""""
"""King Cutthroat""","""割喉国王""","""""","""""",""""""
"""Shield Islands""","""盾牌列岛""","""""","""""",""""""
"""Goldenheart""","""金心""","""""","""""",""""""
"""High Road""","""山谷大道""","""""","""""",""""""
"""House Blackberry""","""布莱伯利家族""","""""","""""",""""""
"""Merling Queen""","""美人鱼女王""","""""","""""",""""""
"""Ulthos""","""乌尔特斯""","""""","""""",""""""
"""Edmyn Tully""","""艾德敏·徒利""","""""","""""",""""""
"""Nagga's Hill""","""娜伽的肋骨""","""""","""""",""""""
"""Sealord of Braavos""","""海王""","""""","""""",""""""
"""Alester Florent""","""艾利斯特·佛罗伦""","""""","""""",""""""
"""House Woolfield""","""渥尔菲家族""","""""","""""",""""""
"""Steelskin""","""铁皮""","""""","""""",""""""
"""House Egen""","""伊根家族""","""""","""""",""""""
"""Daella Targaryen""","""丹妮菈·坦格利安(梅卡一世之女)""","""""","""""",""""""
"""Pyg""","""帕格""","""""","""""",""""""
"""Horonno""","""荷罗诺""","""""","""""",""""""
"""Selmond Stackspear""","""撒尔门·斯脱克皮""","""""","""""",""""""
"""Little Dosk""","""小多克""","""""","""""",""""""
"""Mohor""","""摩霍尔""","""""","""""",""""""
"""House Goodbrother of Crow Spike Keep""","""鸦刺堡的古柏勒家族""","""""","""""",""""""
"""Shyra""","""席拉""","""""","""""",""""""
"""Hidden Sea""","""隐海""","""""","""""",""""""
"""Xon""","""休思岛""","""""","""""",""""""
"""Blackwater Bay""","""黑水湾""","""""","""""",""""""
"""Orphan Oss""","""奥斯""","""""","""""",""""""
"""Greyjoy Rebellion""","""葛雷乔伊叛乱""","""""","""""",""""""
"""Gilly""","""吉莉""","""""","""""",""""""
"""House Leek""","""李科家族""","""""","""""",""""""
"""River Gate""","""临河门""","""""","""""",""""""
"""Tristan Ryger""","""特里斯坦·莱格""","""""","""""",""""""
"""Walrus men""","""海象民""","""""","""""",""""""
"""Magic""","""魔法""","""""","""""",""""""
,"莱斯威尔家族","","",""
"House Farring","法林家族","","",""
"Frenken","法兰肯","","",""
"Battle of the Green Fork","绿叉河之战","","",""
"Rainwood","雨林","","",""
"Sea of Dorne","多恩海","","",""
"Rorge","罗尔杰","","",""
"Shadowcat","影子山猫","","",""
"Hand of the King","国王之手","","",""
"Greyscale","灰鳞病","","",""
"Feathered Kiss","羽之吻号","","",""
"Robert Paege","劳勃·培吉","","",""
"Crunch","嘎吱","","",""
"Arwood Frey","阿伍德·佛雷","","",""
"Talea","泰丽亚","","",""
"House Lannister of Darry","戴瑞城的兰尼斯特家族","","",""
"Alys Targaryen","亚丽·艾林(雷格之妻)","","",""
"Lorn Point","凄凉岬","","",""
"Ravella Swann","拉文娜·史文","","",""
"Eddard Stark","艾德·史塔克","","",""
"Balon Botley","巴隆·波特利","","",""
"Hugor of the Hill","丘陵之王胡戈","","",""
"House of Hazkar","哈扎卡家族","","",""
"Hornwood","霍伍德城","","",""
"Mother Rhoyne","母亲河洛恩","","",""
"Chella","齐拉","","",""
"Bran Stark","布兰·史塔克","","",""
"Northern mountain clans","山地氏族部落","","",""
"Bryan Fossoway","布赖恩·佛索威","","",""
"Sefton Staunton","赛夫顿·斯汤顿","","",""
"Alfyn Crowkiller","“猎鸦”阿夫因","","",""
"Bay of Ice","寒冰湾","","",""
"Black Wall","黑墙","","",""
"Pendric Hills","彭德瑞丘陵","","",""
"Red Oarsman","红桨手","","",""
"Edric Dayne","艾德瑞克·戴恩","","",""
"Hareth (maester)","哈里士(大学士)","","",""
"Dorea Sand","多娜·沙德","","",""
"Mors Martell","莫尔斯·马泰尔","","",""
"Stormlands","风暴地","","",""
"Donella Manderly","唐娜拉·曼德勒","","",""
"Briarwhite","白荆庄","","",""
"dragon egg","龙蛋","","",""
"Conclave","枢机会","","",""
"Guyard Morrigen","古德·莫里根","","",""
"Yorko Terys","约寇·特里斯","","",""
"Valysar","瓦利萨","","",""
"The Song of the Seven","七神之歌","","",""
"Lands of the Long Summer","长夏之地","","",""
"Lymond Vikary","莱蒙·维卡瑞","","",""
"Arryk Cargyll","亚历克·卡盖尔","","",""
"House Hunt","亨特家族","","",""
"Common Tongue","通用语","","",""
"Hugh Beesbury","修夫·毕斯柏里","","",""
"Selhoru","赛荷鲁江","","",""
"Casso Mogat","卡索·摩格特","","",""
"Oros","奥罗斯","","",""
"House Stokeworth","史铎克渥斯家族","","",""
"Norne Goodbrother","纽恩·古柏勒","","",""
"Triston Hightower","崔斯顿·海塔尔","","",""
"Kym","凯姆(学士)","","",""
"Ayrmidon","伊弥顿","","",""
"Narbo","小纳博","","",""
"Manfryd Mooton","曼佛利·慕顿","","",""
"Melisandre","梅丽珊卓","","",""
"Andalos","安达斯","","",""
"Lambswold","羊肠镇","","",""
"House Darklyn","达克林家族","","",""
"Theo Charlton","席奥·查尔顿","","",""
"Gulltown","海鸥镇","","",""
"Dancy","丹晰","","",""
"Gorghan of Old Ghis","高艮","","",""
"Lyonel Baratheon","莱昂诺·拜拉席恩","","",""
"Joramun","乔曼","","",""
"Chett","齐特","","",""
"The Last of the Giants","最后的巨人","","",""
"Androw Frey","安德鲁·佛雷","","",""
"Dreams and prophecies","梦和预言","","",""
"Ravishment","狂喜原","","",""
"Moryn Tyrell","莫林·提利尔","","",""
"Jon (disambiguation)","琼恩(消歧义)","","",""
"Sunflower Hall","阳屋城","","",""
"Prince of Dragonstone","龙石岛亲王","","",""
"Oswin Arryn","奥斯温·艾林","","",""
"bear-paws","熊掌","","",""
"Lady (direwolf)","淑女","","",""
"House Cray","喀雷家族","","",""
"Topaz Emperor","黄晶帝","","",""
"True Tongue","源语","","",""
"Denyo Terys","德尼奥·特里斯","","",""
"Faith Militant uprising","教团武装起事","","",""
"Symeon Star-Eyes","“星眼”赛米恩","","",""
"Squinty Jeyne","斜眼珍妮","","",""
"Harlaw Hall","哈尔洛厅","","",""
"Ossifer Plumm","奥斯菲·普棱","","",""
"Grisel","吉赛尔","","",""
"Colin Florent","柯林·佛罗伦","","",""
"House Kenning of Kayce","凯切镇的肯宁家族","","",""
"Mormont's raven","莫尔蒙的渡鸦","","",""
"Sandbeggar","沙漠乞丐","","",""
"Saathos Saan","萨索斯·桑恩","","",""
"Perkin","佩金","","",""
"Darry (river)","戴瑞河","","",""
"House Tawney","陶尼家族","","",""
"Blackfyre Rebellion","黑火叛乱","","",""
"Gate of the Gods","诸神门","","",""
"The Night That Ended","终结长夜","","",""
"Romny Weaver","罗姆尼·维纺","","",""
"Medwick Tyrell","梅德威克·提利尔","","",""
"Qhorin Halfhand","断掌科林","","",""
"Joanna Lannister","乔安娜·兰尼斯特","","",""
"Margaery Tyrell","玛格丽·提利尔","","",""
"Rohanne of Tyrosh","泰洛西的罗翰妮","","",""
"On a Misty Morn","迷雾的清晨","","",""
"Wylla Manderly","薇拉·曼德勒","","",""
"Maggy","巫姬","","",""
"Darkwash","暗流河","","",""
"Rodrik Greyjoy","罗德利克·葛雷乔伊","","",""
"Lord Walder Frey","瓦德·佛雷侯爵","","",""
"Nyel","尼尔","","",""
"Willam Stark","威廉·史塔克","","",""
"Tower of Ghosts","厉鬼塔","","",""
"Edwyle Stark","艾德勒·史塔克","","",""
"Larence Snow","劳伦斯·雪诺","","",""
"Tytos Brax","泰陀斯·布拉克斯","","",""
"Trystane Martell","崔斯丹·马泰尔","","",""
"Urho","乌霍","","",""
"Simon Staunton","西蒙·斯汤顿","","",""
"House Foote of Nightsong","夜歌城的福特家族","","",""
"Muddy Hall","泥厅","","",""
"Joseth","乔赛斯","","",""
"Stoney Sept","石堂镇","","",""
"Tion Tarbeck","提恩·塔贝克","","",""
"House Ashford","岑佛德家族","","",""
"Seven Swords","七剑客栈","","",""
"Seven Drunken Oarsmen","醉酒七桨手","","",""
"Ashford Meadow","岑树滩草场","","",""
"Sour Alyn","酸埃林","","",""
"House Wynch","温奇家族","","",""
"Ursula Upcliff","娥苏拉·厄利夫","","",""
"Gretchel","吉思尔","","",""
"Morton Waynwood","莫顿·韦伍德","","",""
"Visenya Targaryen (disambiguation)","维桑尼亚·坦格利安(消歧义)","","",""
"Alison","艾丽森","","",""
"Ib","伊班岛","","",""
"House Stackspear","斯脱克皮家族","","",""
"Malleon","梅利恩","","",""
"Harp","竖琴","","",""
"Sea Demon","海魔号","","",""
"Ormund Hightower","蒙德·海塔尔","","",""
"Sign and Portents","征兆与预示","","",""
"Drogon","卓耿","","",""
"Henly","亨利","","",""
"Wickenden","烛穴城","","",""
"Jeyne Farman","简妮·法曼","","",""
"Pyke","派克岛","","",""
"Alysanne Hightower","亚莉珊·海塔尔","","",""
"Lyonel Corbray","莱昂诺·科布瑞","","",""
"Maslyn","马斯林","","",""
"Queen Whore","婊子女王","","",""
"House Quagg","奎格家族","","",""
"Oh Lay My Sweet Lass Down in the Grass","噢拉我的美女躺倒在草地","","",""
"Qarro Volentin","魁罗·瓦伦丁","","",""
"Harrold Darke","哈罗德·达克","","",""
"Alchemist","炼金术士(人)","","",""
"Bay of Whales","鲸鱼湾","","",""
"Swift Sword","快剑号","","",""
"Warden of Stone Way","石路守护","","",""
"Godswood","神木林","","",""
"House Vikary","维卡瑞家族","","",""
"Donnel Hill","唐纳·希山","","",""
"Benjicot Branch","班吉寇·树枝","","",""
"Norvos","诺佛斯","","",""
"Roland Blackwood","罗兰德·布莱伍德","","",""
"Smith (the Seven)","铁匠","","",""
"Holger","霍格","","",""
"Rollam Westerling","洛拉姆·维斯特林","","",""
"Wyl of Wyl","维尔城的维尔","","",""
"Marillion","马瑞里安","","",""
"Bethany Ryswell","蓓珊妮·莱斯威尔","","",""
"Cedra","赛德拉","","",""
"Greyshield","灰盾岛","","",""
"Crownlands","王领","","",""
"Seagard","海疆城","","",""
"Matarys Targaryen","马塔瑞斯·坦格利安","","",""
"House Frey","佛雷家族","","",""
"King of the Iron Islands","铁群岛之王","","",""
"Iron Victory","无敌铁种号","","",""
"Randyll Tarly","蓝道·塔利","","",""
"Tybolt Lannister","泰伯特·兰尼斯特","","",""
"Poddingfield","荚原城","","",""
"Betharios of Braavos","布拉佛斯的贝罗丝","","",""
"Realm of the Jhogwin","杰戈温国度","","",""
"Maron Greyjoy","马伦·葛雷乔伊","","",""
"Lady Olenna (ship)","奥莲娜夫人号","","",""
"Obara Sand","奥芭娅·沙德","","",""
"Mermaids (Merling Queen's)","美人鱼（美人�"""Caggo""","""卡戈""","""""","""""",""""""
"""House Mullendore""","""穆伦道尔家族""","""""","""""",""""""
"""trade talk""","""黑话""","""""","""""",""""""
"""Gulian""","""古利安""","""""","""""",""""""
"""House Greyiron""","""葛雷艾恩家族""","""""","""""",""""""
"""Mathos Mallarawan""","""马索斯·马拉若文""","""""","""""",""""""
"""Jocelyn Stark""","""乔斯琳·史塔克""","""""","""""",""""""
"""Hobber Redwyne""","""霍柏·雷德温""","""""","""""",""""""
"""Red Comet""","""红彗星""","""""","""""",""""""
"""Rickard Ryswell""","""瑞卡德·莱斯威尔""","""""","""""",""""""
"""Grenn""","""葛兰""","""""","""""",""""""
"""Gwyneth Yronwood""","""关妮赛·伊伦伍德""","""""","""""",""""""
"""Bandy""","""班蒂""","""""","""""",""""""
"""Humfrey Hardyng""","""亨佛利·哈顿""","""""","""""",""""""
"""Rhodry""","""罗德雷""","""""","""""",""""""
"""Runcel Hightower""","""伦赛·海塔尔""","""""","""""",""""""
"""Ghost grass""","""鬼草""","""""","""""",""""""
"""House Inchfield""","""英奇菲家族""","""""","""""",""""""
"""House Harlaw""","""哈尔洛家族""","""""","""""",""""""
"""Dunsen""","""邓森""","""""","""""",""""""
"""Daemon Blackfyre (cousin of Maelys)""","""戴蒙·黑火(马里斯之堂兄)""","""""","""""",""""""
"""Meadowlark""","""草鹨号""","""""","""""",""""""
"""Mero""","""梅罗""","""""","""""",""""""
"""Mummer""","""戏子""","""""","""""",""""""
"""Rolland Uffering""","""罗兰·乌法林""","""""","""""",""""""
"""A Dream of Spring""","""春晓的梦想""","""""","""""",""""""
"""Shipbreaker Bay""","""破船湾""","""""","""""",""""""
"""Gates of the Moon""","""月门堡""","""""","""""",""""""
"""Wanderer""","""流浪星""","""""","""""",""""""
"""House Norrey""","""诺瑞氏族""","""""","""""",""""""
"""Brindlewood""","""野猪林""","""""","""""",""""""
"""Hag’s Teeth""","""魔女之牙号""","""""","""""",""""""
"""Cleon""","""克莱昂""","""""","""""",""""""
"""House Pyne""","""潘恩家族""","""""","""""",""""""
"""Devyn Sealskinner""","""戴维因""","""""","""""",""""""
"""Port of Ibben""","""伊班港""","""""","""""",""""""
"""Vixen""","""母狐号""","""""","""""",""""""
"""Sea Dragon Point""","""海龙角""","""""","""""",""""""
"""Hubard Rambton""","""赫柏·蓝布顿""","""""","""""",""""""
"""Raymund Connington""","""雷蒙德·克林顿""","""""","""""",""""""
"""Tommen Costayne""","""托曼·科托因""","""""","""""",""""""
"""Daeron Targaryen (disambiguation)""","""戴伦·坦格利安(消歧义)""","""""","""""",""""""
"""Eyrie""","""鹰巢城""","""""","""""",""""""
"""Iron Gate""","""钢铁门""","""""","""""",""""""
"""Second Battle of Tumbleton""","""第二次腾石镇之战""","""""","""""",""""""
"""Meggett Was a Merry Maid a Merry Maid Was She""","""快乐处女麦吉特""","""""","""""",""""""
